30000001,30000001,坦欧,Tanoo,,,,,,
30000002,30000002,拉什希亚,Lashesih,,,,,,
30000003,30000003,埃克葡温姆,Akpivem,,,,,,
30000004,30000004,加尔克,Jark,,,,,,
30000005,30000005,萨斯塔,Sasta,,,,,,
30000006,30000006,扎得,Zaid,,,,,,
30000007,30000007,耶泽尔,Yuzier,,,,,,
30000008,30000008,尼尔比,Nirbhi,,,,,,
30000009,30000009,苏马,Sooma,,,,,,
30000010,30000010,赤达夫,Chidah,,,,,,
30000011,30000011,舍勒拉,Shenela,,,,,,
30000012,30000012,埃萨伯纳,Asabona,,,,,,
30000013,30000013,昂苏,Onsooh,,,,,,
30000014,30000014,沙玛希,Shamahi,,,,,,
30000015,30000015,森达雅,Sendaya,,,,,,
30000016,30000016,纳泽格特,Nazhgete,,,,,,
30000017,30000017,弗茨查格,Futzchag,,,,,,
30000018,30000018,卡兹纳,Kazna,,,,,,
30000019,30000019,波迪恩,Podion,,,,,,
30000020,30000020,里尔玛的,Lilmad,,,,,,
30000021,30000021,库哈拉赫,Kuharah,,,,,,
30000022,30000022,杰尼勒布,Jayneleb,,,,,,
30000023,30000023,夫维希,Fovihi,,,,,,
30000024,30000024,加冷德,Kiereend,,,,,,
30000025,30000025,拉谢尔,Rashy,,,,,,
30000026,30000026,厄尔戴斯,Ordize,,,,,,
30000027,30000027,帕萨沙,Psasa,,,,,,
30000028,30000028,伊什塔,Eshtah,,,,,,
30000029,30000029,拉彻列斯,Lachailes,,,,,,
30000030,30000030,卡斯拉斯,Kasrasi,,,,,,
30000031,30000031,莫哈瑟,Mohas,,,,,,
30000032,30000032,哈斯那利,Hasiari,,,,,,
30000033,30000033,瑞蒂玛,Radima,,,,,,
30000034,30000034,阿克兹,Alkez,,,,,,
30000035,30000035,尼曼巴尔,Nimambal,,,,,,
30000036,30000036,伊什农,Yishinoon,,,,,,
30000037,30000037,尤普林古尔,Uplingur,,,,,,
30000038,30000038,多泽,Dooz,,,,,,
30000039,30000039,巴宇卡,Bayuka,,,,,,
30000040,30000040,乌兹斯图恩,Uzistoon,,,,,,
30000041,30000041,巴尔士尔,Bairshir,,,,,,
30000042,30000042,摩亚,Moh,,,,,,
30000043,30000043,萨里,Sari,,,,,,
30000044,30000044,法斯佩拉,Faspera,,,,,,
30000045,30000045,亚玛斯,Jaymass,,,,,,
30000046,30000046,米弗拉塔,Mifrata,,,,,,
30000047,30000047,玛加玛尔,Majamar,,,,,,
30000048,30000048,伊哈尔,Ihal,,,,,,
30000049,30000049,加莫尔,Camal,,,,,,
30000050,30000050,法瑞亚,Fera,,,,,,
30000051,30000051,朱迪,Juddi,,,,,,
30000052,30000052,玛斯帕,Maspah,,,,,,
30000053,30000053,伊巴利亚,Ibaria,,,,,,
30000054,30000054,莎拉,Shala,,,,,,
30000055,30000055,泽玛鲁,Zemalu,,,,,,
30000056,30000056,坎克尼迪亚,Khankenirdia,,,,,,
30000057,30000057,尼克,Nikh,,,,,,
30000058,30000058,阿曼法尔,Amphar,,,,,,
30000059,30000059,萨拉莎亚玛,Salashayama,,,,,,
30000060,30000060,加纳斯,Janus,,,,,,
30000061,30000061,艾格哈,Agha,,,,,,
30000062,30000062,艾萨恩汀,Iosantin,,,,,,
30000063,30000063,欧尔瓦,Orva,,,,,,
30000064,30000064,泽特,Zet,,,,,,
30000065,30000065,埃克拉德,Akhrad,,,,,,
30000066,30000066,皮洛西丁,Pirohdim,,,,,,
30000067,30000067,沙日耳,Sharir,,,,,,
30000068,30000068,乌斯洛,Usroh,,,,,,
30000069,30000069,泰尔瑞尔,Thiarer,,,,,,
30000070,30000070,格马提,Gomati,,,,,,
30000071,30000071,加恩加尔,Jangar,,,,,,
30000072,30000072,纳卡赫,Nakah,,,,,,
30000073,30000073,伊列莎,Irshah,,,,,,
30000074,30000074,哈萨蒂姆,Hasateem,,,,,,
30000075,30000075,艾沙哈,Assah,,,,,,
30000076,30000076,提达查,Tidacha,,,,,,
30000077,30000077,欧迪博,Odlib,,,,,,
30000078,30000078,乔法恩,Jofan,,,,,,
30000079,30000079,米鲁,Milu,,,,,,
30000080,30000080,亚蒂,Yadi,,,,,,
30000081,30000081,布夫提亚,Buftiar,,,,,,
30000082,30000082,贾日扎,Jarizza,,,,,,
30000083,30000083,伊加西,Ejahi,,,,,,
30000084,30000084,埃斯格哈提尔,Asghatil,,,,,,
30000085,30000085,巴尔,Bar,,,,,,
30000086,30000086,苏查,Sucha,,,,,,
30000087,30000087,格汉,Gelhan,,,,,,
30000088,30000088,阿克瓦,Akeva,,,,,,
30000089,30000089,索萨,Sosa,,,,,,
30000090,30000090,伊拉赫德,Ilahed,,,,,,
30000091,30000091,厄什威尔,Eshwil,,,,,,
30000092,30000092,阿拉尼尔,Aranir,,,,,,
30000093,30000093,伊始卡德,Ishkad,,,,,,
30000094,30000094,哈希尔,Hahyil,,,,,,
30000095,30000095,埃斯勒姆,Asilem,,,,,,
30000096,30000096,曼那格,Mahnagh,,,,,,
30000097,30000097,莎彻,Shach,,,,,,
30000098,30000098,克拉拉,Kehrara,,,,,,
30000099,30000099,艾瑞纳,Arena,,,,,,
30000100,30000100,蒂梅尔,Timeor,,,,,,
30000101,30000101,奥塔法,Uhtafal,,,,,,
30000102,30000102,戴萨,Dysa,,,,,,
